%besme llahe rahmane rahim va tavakalto ala llah
@relation multiClassDataSet

@attribute POS {V, ADJ, N, ADR, ADV, CONJ, NUM, POSTP, PR, PSUS, SUBR, PREP, PUNC, LATIN, ARAB, UNKNOWN}
@attribute synTag {NE, APP, NCL, AJUCL, PARCL, TAM, NPRT, NPP, VPRT, COMPP, NPOSTMOD, NPREMOD, PUNC, SBJ, NVE, ENC, ADVRB, NADV, ADJADV, PRD, ACL, AVCL, VCL, AJPP, ADVPP, ADVC, NEZ, ADVEZ, PROG, MOS, MOZ, OBJ, OBJ2, VPP, MESU, AJCONJ, PCONJ, NCONJ, VCONJ, AVCONJ, POSDEP, PREDEP, APOSTMOD, APREMOD, ROOT, UNKNOWN}
@attribute semTag {Arg0, Arg1, Arg2, Arg3, Arg4, Arg5, ArgM_COM, ArgM_LOC, ArgM_DIR,  ArgM_GOL, ArgM_MNR, ArgM_TMP, ArgM_EXT, ArgM_REC, ArgM_PRP, ArgM_CAU, ArgM_DIS, ArgM_MOD, ArgM_NEG, ArgM_ADV, ArgM_CND, ArgM_INS, null}
@attribute superWsd {نفر§n-13075,مسبب§n-13036, جانور§n-12239,جان_دار§n-10393, ساختار§n-12875, موقعيت§n-13554, جا§n-12733, شيء§n-12703, چيز§n-10392, ماده§n-14032, مشخصه§n-12756, خصوصيت_رواني§n-12725, واحد_زمان§n-12631, دوره_زماني§n-12603, فاصله_زماني§n-12691, اندازه§n-12768, رخداد§n-13136, رابطه§n-13628, گروه§n-12753, گروه§n-13239, خبر§n-12766, null}
@attribute depended {YES, NO}
@attribute class {ROLE, ROLE_ACTION, ROLE_STATE, ROLE_INTENT, ROLE_EMOTION, DYNAMIC_OBJECT, DYNAMIC_OBJECT_ACTION, DYNAMIC_OBJECT_STATE, STATIC_OBJECT, STATIC_OBJECT_STATE, LOCATION, TIME, SCENE_EMOTION, SCENE_GOAL, UNKNOWN}

@data
N, OBJ, Arg1, نفر§n-13075, YES, role
N, ADVRB, ArgM_ADV, null, YES, no
PR, MOZ, null, نفر§n-13075, YES, role
N, SBJ, Arg1, null, YES, role
N, MOS, Arg2, نفر§n-13075, YES, role
ADJ, NPOSTMOD, null, نفر§n-13075, YES, role
ADJ, AJCONJ, null, نفر§n-13075, YES, role
N, SBJ, Arg1, نفر§n-13075, YES, role
N, AJPP, null, نفر§n-13075, YES, role
N, POSDEP, null, نفر§n-13075, YES, role
ADJ, MOS, Arg2, ‌مشخصه§n-12756, YES, role_state
PREP, ADVC, Arg2, مشخصه§n-12756, YES, no
N, POSDEP, null, دوره زماني§n-12603, YES, time
N, NVE, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
N, ADVC, Arg1, دوره زماني§n-12603, YES, no
N, ADVRB, ArgM_TMP, دوره زماني§n-12603, YES, time
N, OBJ, Arg1, خصوصیت روانی§n-12725, YES, no
V, PRD, null, رخداد§n-13136, YES, role_action
N, ADVRB, ArgM_TMP, دوره زماني§n-12603, YES, time
PREP, VPP, Arg4, جا§n-12733, YES, location
N, POSDEP, null, نفر§n-13075, YES, role
N, ADVRB, ArgM_LOC, null, YES, no
N, MOZ, null, خصوصيت رواني§n-12725, YES, no
V, VCL, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, شيء§n-12703, YES, static_object
N, NCONJ, null, null, YES, static_object
N, NCONJ, null, null, YES, static_object
PREP, NPP, Arg3, null, YES, no
PR, POSDEP, null, نفر§n-13075, YES, role
N, NVE, null, رخداد§n-13136, YES, static_object_state
V, PRD, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, null, YES, role
N, MOZ, null, نفر§n-13075, YES, role
N, OBJ, Arg1, خصوصیت روانی§n-12725, YES, no
N, MOZ, null, خصوصيت رواني§n-12725, YES, no
V, PRD, null, رخداد§n-13136, YES, no
