%besme llahe rahmane rahim va tavakalto ala llah
@relation multiClassDataSet

@attribute POS {V, ADJ, N, ADR, ADV, CONJ, NUM, POSTP, PR, PSUS, SUBR, PREP, PUNC, LATIN, ARAB, UNKNOWN}
@attribute synTag {NE, APP, NCL, AJUCL, PARCL, TAM, NPRT, NPP, VPRT, COMPP, NPOSTMOD, NPREMOD, PUNC, SBJ, NVE, ENC, ADVRB, NADV, ADJADV, PRD, ACL, AVCL, VCL, AJPP, ADVPP, ADVC, NEZ, ADVEZ, PROG, MOS, MOZ, OBJ, OBJ2, VPP, MESU, AJCONJ, PCONJ, NCONJ, VCONJ, AVCONJ, POSDEP, PREDEP, APOSTMOD, APREMOD, ROOT, UNKNOWN}
@attribute semTag {Arg0, Arg1, Arg2, Arg3, Arg4, Arg5, ArgM_COM, ArgM_LOC, ArgM_DIR,  ArgM_GOL, ArgM_MNR, ArgM_TMP, ArgM_EXT, ArgM_REC, ArgM_PRP, ArgM_CAU, ArgM_DIS, ArgM_MOD, ArgM_NEG, ArgM_ADV, ArgM_CND, ArgM_INS, null}
@attribute superWsd {هست§n-12706, نفر§n-13075, مسبب§n-13036, جانور§n-12239, جان_دار§n-10393, ساختار§n-12875, موقعيت§n-13554, جا§n-12733, شيء§n-12703, چيز§n-10392, ماده§n-14032, مشخصه§n-12756, خصوصيت_رواني§n-12725, دوره_زماني§n-12603, اندازه§n-12768, رخداد§n-13136, رابطه§n-13628, گروه§n-12753, گروه§n-13239, خبر§n-12766, null}
@attribute depended {YES, NO}
@attribute class {role, role_action, role_state, role_intent, role_emotion, dynamic_object, dynamic_object_action, dynamic_object_state, static_object, static_object_state, location, time, scene_emotion, scene_goal, unknown}

@data
N, OBJ, Arg1, نفر§n-13075, YES, role
N, ADVRB, ArgM_ADV, null, YES, unknown
PR, MOZ, null, نفر§n-13075, YES, role
N, SBJ, Arg1, null, YES, role
N, MOS, Arg2, نفر§n-13075, YES, role
ADJ, NPOSTMOD, null, نفر§n-13075, YES, role
ADJ, AJCONJ, null, نفر§n-13075, YES, role
N, SBJ, Arg1, نفر§n-13075, YES, role
N, AJPP, null, نفر§n-13075, YES, role
N, POSDEP, null, نفر§n-13075, YES, role
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
PREP, ADVC, Arg2, مشخصه§n-12756, YES, unknown
N, POSDEP, null, دوره زماني§n-12603, YES, time
N, NVE, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
N, ADVC, Arg1, دوره زماني§n-12603, YES, unknown
N, ADVRB, ArgM_TMP, دوره زماني§n-12603, YES, time
N, OBJ, Arg1, خصوصيت_رواني§n-12725, YES, unknown
V, PRD, null, رخداد§n-13136, YES, role_action
N, ADVRB, ArgM_TMP, دوره زماني§n-12603, YES, time
PREP, VPP, Arg4, جا§n-12733, YES, location
N, POSDEP, null, نفر§n-13075, YES, role
N, ADVRB, ArgM_LOC, null, YES, unknown
N, MOZ, null, خصوصيت_رواني§n-12725, YES, unknown
V, VCL, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, شيء§n-12703, YES, static_object
N, NCONJ, null, null, YES, static_object
N, NCONJ, null, null, YES, static_object
PREP, NPP, Arg3, null, YES, unknown
PR, POSDEP, null, نفر§n-13075, YES, role
N, NVE, null, رخداد§n-13136, YES, static_object_state
V, PRD, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, null, YES, role
N, MOZ, null, نفر§n-13075, YES, role
N, OBJ, Arg1, خصوصيت_رواني§n-12725, YES, unknown
N, MOZ, null, خصوصيت_رواني§n-12725, YES, unknown
V, PRD, null, رخداد§n-13136, YES, unknown
N, OBJ, Arg1, خصوصيت_رواني§n-12725, YES, unknown
N, POSDEP, null, نفر§n-13075, YES, role
PR, MOZ, null, نفر§n-13075, YES, role
ADJ, MOS, Arg2, null, YES, unknown
V, VCL, null, رخداد§n-13136, YES, role_action
PR, POSDEP, null, نفر§n-13075, YES, role
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_intent
V, PRD, null, رخداد§n-13136, YES, role_action
N, ADVRB, ArgM_TMP, دوره زمانی§n-12603, YES, time
N, MOS, Arg2, مشخصه§n-12756, YES, role_state
ADJ, NPOSTMOD, null, مشخصه§n-12756, YES, role_state
V, PRD, null, رخداد§n-13136, YES, unknown
N, OBJ, Arg3, رخداد§n-13136, YES, unknown
PR, MOZ, null, نفر§n-13075, YES, role
N, NVE, null, شيء§n-12703, YES, unknown
V, PRD, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, خصوصيت_رواني§n-12725, YES, unknown
N, VPP, Arg3, null, YES, role_state
V, VCONJ, null, رخداد§n-13136, NO, unknown
N, OBJ, Arg1, خصوصيت_رواني§n-12725, NO, unknown
N, MOZ, null, خصوصيت_رواني§n-12725, YES, unknown
V, ROOT, null, رخداد§n-13136, NO, role_action
N, SBJ, Arg1, خصوصيت_رواني§n-12725, YES, unknown
N, MOZ, null, رخداد§n-13136, YES, role_action
N, MOZ, null, نفر§n-13075, YES, role
N, NCONJ, null, null, YES, unknown
N, MOS, Arg2, مسبب§n-13036, YES, unknown
N, SBJ, Arg0, نفر§n-13075, YES, role
N, OBJ, Arg1, مشخصه§n-12756, YES, role_state
N, NCONJ, null, null, YES, role_state
ADJ, NPOSTMOD, null, مشخصه§n-12756, YES, unknown
N, NPP, ArgM_LOC, null, YES, unknown
N, MOZ, null, نفر§n-13075, YES, role
