%besme llahe rahmane rahim va tavakalto ala llah
@relation multiClassDataSet

@attribute POS {V, ADJ, N, ADR, ADV, CONJ, NUM, POSTP, PR, PSUS, SUBR, PREP, PUNC, LATIN, ARAB, UNKNOWN}
@attribute synTag {NE, APP, NCL, AJUCL, PARCL, TAM, NPRT, NPP, VPRT, COMPP, NPOSTMOD, NPREMOD, PUNC, SBJ, NVE, ENC, ADVRB, NADV, ADJADV, PRD, ACL, AVCL, VCL, AJPP, ADVPP, ADVC, NEZ, ADVEZ, PROG, MOS, MOZ, OBJ, OBJ2, VPP, MESU, AJCONJ, PCONJ, NCONJ, VCONJ, AVCONJ, POSDEP, PREDEP, APOSTMOD, APREMOD, ROOT, UNKNOWN}
@attribute semTag {Arg0, Arg1, Arg2, Arg3, Arg4, Arg5, ArgM_COM, ArgM_LOC, ArgM_DIR,  ArgM_GOL, ArgM_MNR, ArgM_TMP, ArgM_EXT, ArgM_REC, ArgM_PRP, ArgM_CAU, ArgM_DIS, ArgM_MOD, ArgM_NEG, ArgM_ADV, ArgM_CND, ArgM_INS, null}
@attribute superWsd {هست§n-12706, نفر§n-13075, مسبب§n-13036, جانور§n-12239, جان_دار§n-10393, ساختار§n-12875, جا§n-12733, شيء§n-12703, ماده§n-14032, مشخصه§n-12756, خصوصيت_رواني§n-12725, دوره_زماني§n-12603, اندازه§n-12768, رخداد§n-13136, رابطه§n-13628, گروه§n-12753, خبر§n-12766, null}
@attribute depended {YES, NO}
@attribute class {role, role_action, role_state, role_intent, role_emotion, dynamic_object, dynamic_object_action, dynamic_object_state, static_object, static_object_state, location, time}

@data
N, OBJ, Arg1, نفر§n-13075, YES, role
PR, MOZ, null, نفر§n-13075, YES, role
N, SBJ, Arg1, null, YES, role
N, MOS, Arg2, نفر§n-13075, YES, role
ADJ, NPOSTMOD, null, نفر§n-13075, YES, role
ADJ, AJCONJ, null, نفر§n-13075, YES, role
N, SBJ, Arg1, نفر§n-13075, YES, role
N, AJPP, null, نفر§n-13075, YES, role
N, POSDEP, null, نفر§n-13075, YES, role
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
N, POSDEP, null, دوره_زماني§n-12603, YES, time
N, NVE, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
N, ADVRB, ArgM_TMP, دوره_زماني§n-12603, YES, time
V, PRD, null, رخداد§n-13136, YES, role_action
N, ADVRB, ArgM_TMP, دوره_زماني§n-12603, YES, time
PREP, VPP, Arg4, جا§n-12733, YES, location
N, POSDEP, null, نفر§n-13075, YES, role
V, VCL, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, شيء§n-12703, YES, static_object
N, NCONJ, null, null, YES, static_object
N, NCONJ, null, null, YES, static_object
PR, POSDEP, null, نفر§n-13075, YES, role
N, NVE, null, رخداد§n-13136, YES, static_object_state
V, PRD, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, null, YES, role
N, MOZ, null, نفر§n-13075, YES, role
N, POSDEP, null, نفر§n-13075, YES, role
PR, MOZ, null, نفر§n-13075, YES, role
V, VCL, null, رخداد§n-13136, YES, role_action
PR, POSDEP, null, نفر§n-13075, YES, role
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_intent
V, PRD, null, رخداد§n-13136, YES, role_action
N, ADVRB, ArgM_TMP, دوره_زماني§n-12603, YES, time
N, MOS, Arg2, مشخصه§n-12756, YES, role_state
ADJ, NPOSTMOD, null, مشخصه§n-12756, YES, role_state
PR, MOZ, null, نفر§n-13075, YES, role
V, PRD, null, رخداد§n-13136, YES, role_action
N, VPP, Arg3, null, YES, role_state
V, ROOT, null, رخداد§n-13136, NO, role_action
N, MOZ, null, رخداد§n-13136, YES, role_action
N, MOZ, null, نفر§n-13075, YES, role
N, SBJ, Arg0, نفر§n-13075, YES, role
N, OBJ, Arg1, مشخصه§n-12756, YES, role_state
N, NCONJ, null, null, YES, role_state
N, MOZ, null, نفر§n-13075, YES, role
N, OBJ, Arg1, اندازه§n-12768, YES, time
ADJ, NPOSTMOD, null, مشخصه§n-12756, YES, role_state
N, SBJ, Arg0, نفر§n-13075, NO, role
V, ROOT, null, رخداد§n-13136, NO, role_action
N, ADVRB, ArgM_TMP, null, YES, time
PREP, VPP, Arg4, جا§n-12733, YES, location
N, POSDEP, null, نفر§n-13075, YES, role
V, VCONJ, null, رخداد§n-13136, YES, role_action
N, VPP, Arg3, نفر§n-13075, YES, role
N, OBJ, Arg1, نفر§n-13075, YES, role
N, ADVRB, ArgM_COM, رخداد§n-13136, YES, role_intent
N, VPP, Arg4, جا§n-12733, YES, location
V, VCL, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, نفر§n-13075, NO, role
PR, NPP, Arg3, نفر§n-13075, YES, role
ADJ, NPOSTMOD, null, مشخصه§n-12756, YES, role_intent
V, ROOT, null, رخداد§n-13136, NO, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
N, OBJ, Arg1, نفر§n-13075, YES, role
PR, VPP, Arg3, نفر§n-13075, YES, role
UNKNOWN, ADVRB, Arg2, مشخصه§n-12756, YES, role_intent
V, VCL, null, رخداد§n-13136, YES, role_action
N, POSDEP, null, نفر§n-13075, YES, role
N, NVE, null, مشخصه§n-12756, YES, role_emotion
V, VCL, null, رخداد§n-13136, YES, role_action
N, VPP, Arg4, شيء§n-12703, YES, location
V, AJUCL, null, رخداد§n-13136, YES, role_action
N, NVE, null, رخداد§n-13136, YES, role_intent
N, VPP, Arg3, null, YES, role_state
V, AJUCL, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, جان_دار§n-10393, YES, dynamic_object
V, PRD, null, رخداد§n-13136, YES, dynamic_object_action
N, MOS, Arg2, مشخصه§n-12756, NO, role_state
V, ROOT, null, رخداد§n-13136, NO, role_action
PR, SBJ, Arg0, نفر§n-13075, YES, role
N, NPP, Arg3, نفر§n-13075, YES, role
N, SBJ, Arg1, مشخصه§n-12756, YES, role_emotion
N, SBJ, Arg1, مشخصه§n-12756, YES, role_emotion
V, VCONJ, null, رخداد§n-13136, NO, role_action
N, VPP, Arg3, مشخصه§n-12756, NO, role_intent
V, ROOT, null, رخداد§n-13136, NO, role_action
N, POSDEP, null, رخداد§n-13136, YES, role_state
PR, MOZ, null, نفر§n-13075, YES, role
V, ROOT, null, null, NO, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
N, MOZ, null, null, YES, location
N, NVE, null, خصوصيت_رواني§n-12725, YES, role_intent
N, SBJ, Arg0, نفر§n-13075, YES, role
N, OBJ, Arg1, شيء§n-12703, YES, static_object
N, MOZ, null, نفر§n-13075, YES, role
N, AJPP, null, هست§n-12706, YES, static_object
N, MOZ, null, جانور§n-12239, YES, dynamic_object
ADJ, MOS, Arg2, مشخصه§n-12756, YES, static_object_state
V, PRD, null, null, YES, role_action
PREP, VPP, Arg3, جا§n-12733, YES, location
N, POSDEP, null, نفر§n-13075, YES, role
N, SBJ, Arg0, جانور§n-12239, YES, dynamic_object
V, PRD, null, رخداد§n-13136, YES, dynamic_object_action
N, SBJ, Arg1, نفر§n-13075, YES, role
N, ADVRB, ArgM_TMP, null, YES, time
N, NCONJ, null, دوره_زماني§n-12603, YES, time
N, POSDEP, null, null, YES, location
N, SBJ, Arg0, نفر§n-13075, YES, role
N, VPP, Arg4, گروه§n-12753, YES, location
V, PRD, null, رخداد§n-13136, YES, role_action
N, POSDEP, null, null, YES, role_intent
N, MOZ, null, مشخصه§n-12756, YES, role_state
N, NPP, null, ماده§n-14032, YES, static_object
N, MOZ, null, null, YES, static_object
N, SBJ, Arg1, نفر§n-13075, YES, role
V, PRD, null, رخداد§n-13136, YES, role_action
PR, SBJ, Arg0, نفر§n-13075, YES, role
N, POSDEP, null, ماده§n-14032, YES, static_object
N, VPP, Arg3, نفر§n-13075, YES, role
ADJ, NPOSTMOD, null, null, YES, role_state
V, VCONJ, null, رخداد§n-13136, YES, role_action
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_emotion
N, ADVRB, ArgM_LOC, گروه§n-12753, NO, location
V, ROOT, null, رخداد§n-13136, NO, role_action
N, SBJ, Arg1, مسبب§n-13036, YES, role
N, OBJ, Arg1, نفر§n-13075, YES, role
V, PRD, null, null, YES, role_action
N, MOS, Arg2, نفر§n-13075, YES, role
N, MOZ, null, نفر§n-13075, YES, role
N, MOZ, null, گروه§n-12753, YES, location
N, SBJ, Arg0, نفر§n-13075, YES, role
N, MOZ, null, گروه§n-12753, YES, location
N, NCONJ, null, نفر§n-13075, YES, role
PR, MOZ, null, نفر§n-13075, YES, role
N, MOZ, null, نفر§n-13075, YES, role
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
N, OBJ, Arg1, نفر§n-13075, YES, role
N, MOS, Arg2, رخداد§n-13136, YES, role_intent
N, SBJ, Arg0, نفر§n-13075, YES, role
N, MOZ, null, دوره_زماني§n-12603, YES, role_state
N, SBJ, Arg1, null, YES, role
N, POSDEP, null, مشخصه§n-12756, YES, role_state
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_emotion
ADJ, AJCONJ, null, null, YES, role_emotion
N, ADVRB, ArgM_TMP, null, YES, time
N, OBJ, Arg1, نفر§n-13075, YES, role
N, ADVRB, Arg3, null, YES, location
V, VCONJ, null, رخداد§n-13136, YES, role_action
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
V, PRD, null, رخداد§n-13136, YES, role_action
N, MOZ, null, ساختار§n-12875, YES, static_object
N, SBJ, Arg0, null, NO, role
N, OBJ, Arg1, null, NO, static_object
N, MOZ, null, نفر§n-13075, YES, role
ADJ, PREDEP, null, مشخصه§n-12756, YES, static_object_state
N, MOZ, null, شيء§n-12703, YES, static_object
N, MOZ, null, نفر§n-13075, YES, role
N, SBJ, Arg0, نفر§n-13075, YES, role
N, MOZ, null, null, YES, role
V, VCONJ, null, رخداد§n-13136, NO, role_action
N, NVE, null, null, NO, role_intent
V, ROOT, null, رخداد§n-13136, NO, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
N, MOZ, null, گروه§n-12753, YES, location
N, VPP, Arg3, null, YES, static_object
N, MOZ, null, نفر§n-13075, YES, role
V, ROOT, null, رخداد§n-13136, NO, role_action
N, SBJ, Arg1, شيء§n-12703, YES, static_object
ADJ, MOS, Arg2, مشخصه§n-12756, YES, static_object_state
N, NPP, Arg3, نفر§n-13075, YES, role
PR, MOZ, null, نفر§n-13075, YES, role
V, VCONJ, null, رخداد§n-13136, YES, role_action
N, MOS, Arg2, null, YES, role_intent
ADJ, NPOSTMOD, null, مشخصه§n-12756, YES, role_state
N, SBJ, Arg0, null, NO, role
N, NVE, null, خصوصيت_رواني§n-12725, NO, role_intent
V, ROOT, null, رخداد§n-13136, NO, role_action
N, OBJ, Arg1, نفر§n-13075, YES, role
ADJ, NPOSTMOD, null, مشخصه§n-12756, YES, role_state
N, NPP, Arg3, ساختار§n-12875, YES, location
N, NVE, null, خبر§n-12766, YES, role_intent
N, OBJ, Arg1, نفر§n-13075, YES, role
PR, VPP, Arg3, null, YES, role
N, POSDEP, null, رخداد§n-13136, YES, role_state
N, MOZ, null, خصوصيت_رواني§n-12725, YES, role_intent
N, OBJ, Arg1, رخداد§n-13136, YES, role_intent
N, OBJ, Arg1, نفر§n-13075, NO, role
ADJ, NPOSTMOD, null, مشخصه§n-12756, YES, role_state
ADJ, AJCONJ, null, مشخصه§n-12756, YES, role_state
N, MOZ, null, گروه§n-12753, YES, role_state
N, NPP, Arg3, ساختار§n-12875, YES, location
N, NVE, null, خبر§n-12766, NO, role_intent
V, ROOT, null, رخداد§n-13136, NO, role_action
N, NPP, Arg3, null, YES, role
N, NPP, Arg3, null, YES, role
N, POSDEP, null, null, YES, role
N, SBJ, Arg1, نفر§n-13075, YES, role
N, SBJ, Arg0, null, YES, role
N, POSDEP, null, null, YES, role
N, OBJ, Arg1, شيء§n-12703, YES, static_object
N, OBJ, Arg1, null, YES, static_object
N, NVE, null, شيء§n-12703, YES, static_object
V, AJUCL, null, رخداد§n-13136, YES, role_action
PR, SBJ, Arg0, null, YES, role
N, MOZ, null, نفر§n-13075, YES, role
N, NCONJ, null, مشخصه§n-12756, YES, role_state
N, NCONJ, null, مشخصه§n-12756, YES, role_state
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
V, ROOT, null, رخداد§n-13136, NO, role_action
N, POSDEP, null, null, YES, role
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
N, SBJ, Arg1, نفر§n-13075, YES, role
ADJ, TAM, Arg2, مشخصه§n-12756, YES, role_state
N, SBJ, Arg0, null, NO, role
N, NCONJ, null, نفر§n-13075, YES, role
PR, MOZ, null, null, YES, role
N, MOZ, null, null, YES, role_state
ADJ, PREDEP, null, مشخصه§n-12756, YES, role_state
N, MOZ, null, نفر§n-13075, YES, role
V, ROOT, null, رخداد§n-13136, NO, role_action
N, POSDEP, null, null, YES, time
N, ADVRB, ArgM_LOC, null, YES, location
V, PRD, null, رخداد§n-13136, YES, role_action
PR, MOZ, null, null, YES, role
PR, SBJ, Arg1, null, YES, role
N, AJPP, null, null, YES, location
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
N, MOZ, null, خصوصيت_رواني§n-12725, YES, role_state
N, SBJ, Arg0, نفر§n-13075, YES, role
N, VPP, Arg3, null, YES, role
N, ADVRB, ArgM_TMP, null, YES, time
N, AJPP, null, null, YES, location
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
PR, OBJ, Arg3, نفر§n-13075, YES, role
N, NPP, Arg4, نفر§n-13075, YES, role
N, ADVRB, ArgM_TMP, دوره_زماني§n-12603, NO, time
N, NPP, null, دوره_زماني§n-12603, YES, time
N, SBJ, Arg0, نفر§n-13075, NO, role
N, MOZ, null, گروه§n-12753, YES, location
V, ROOT, null, رخداد§n-13136, NO, role_action
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
N, SBJ, Arg0, نفر§n-13075, YES, role
N, ADVRB, ArgM_TMP, دوره_زماني§n-12603, YES, time
N, ADVRB, ArgM_LOC, null, YES, location
PREP, MOS, Arg2, جا§n-12733, YES, location
N, POSDEP, null, نفر§n-13075, YES, role
N, MOZ, null, نفر§n-13075, YES, role
N, VPP, Arg3, نفر§n-13075, YES, role
N, OBJ, Arg1, null, YES, role
V, PRD, null, null, YES, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
PREP, VPP, Arg4, جا§n-12733, YES, location
N, POSDEP, null, نفر§n-13075, YES, role
N, MOZ, null, نفر§n-13075, YES, role
N, SBJ, Arg0, نفر§n-13075, YES, role
V, VCONJ, null, رخداد§n-13136, YES, role_action
N, NPP, Arg3, رخداد§n-13136, YES, role_state
N, NCONJ, null, مشخصه§n-12756, YES, role_state
N, MOZ, null, نفر§n-13075, YES, role
V, VCONJ, null, رخداد§n-13136, YES, role_action
N, NVE, null, رخداد§n-13136, YES, role_state
N, NPP, Arg3, ساختار§n-12875, YES, location
N, NVE, null, خبر§n-12766, YES, role_intent
V, PRD, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
N, NPP, Arg3, null, YES, location
V, VCL, null, رخداد§n-13136, YES, role_action
PR, OBJ, Arg1, نفر§n-13075, YES, role
V, PRD, null, رخداد§n-13136, YES, role_action
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
V, AJUCL, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
N, OBJ, Arg1, نفر§n-13075, YES, role
N, NVE, null, خبر§n-12766, YES, role_intent
PR, SBJ, Arg0, نفر§n-13075, YES, role
N, NVE, null, null, YES, role_state
N, OBJ, Arg1, خصوصيت_رواني§n-12725, YES, role_state
N, NCONJ, null, رخداد§n-13136, YES, role_state
V, PRD, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, null, NO, role
N, NVE, null, null, NO, role_state
N, SBJ, Arg0, نفر§n-13075, YES, role
N, NPP, Arg3, مشخصه§n-12756, YES, role_state
N, MOZ, null, نفر§n-13075, YES, role
V, PRD, null, رخداد§n-13136, YES, role_action
N, OBJ, Arg1, نفر§n-13075, YES, role
N, ADVRB, ArgM_MNR, رخداد§n-13136, YES, role_state
PREP, VPP, Arg4, جا§n-12733, YES, location
PR, POSDEP, null, نفر§n-13075, YES, role
V, VCL, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg1, نفر§n-13075, YES, role
N, NCONJ, null, نفر§n-13075, YES, role
PR, MOZ, null, نفر§n-13075, YES, role
N, MOZ, null, گروه§n-12753, YES, role
N, SBJ, Arg0, نفر§n-13075, YES, role
N, VPP, Arg3, نفر§n-13075, YES, role
N, VPP, Arg4, گروه§n-12753, YES, location
V, VCONJ, null, رخداد§n-13136, YES, role_action
N, OBJ, Arg1, هست§n-12706, YES, static_object
N, NVE, null, رخداد§n-13136, YES, role_intent
V, PRD, null, رخداد§n-13136, YES, role_action
PR, SBJ, Arg1, نفر§n-13075, YES, role
N, POSDEP, null, رخداد§n-13136, YES, role_intent
N, MOZ, null, هست§n-12706, YES, static_object
ADJ, MOS, Arg2, مشخصه§n-12756, YES, role_state
N, NEZ, null, گروه§n-12753, YES, location
N, SBJ, Arg0, نفر§n-13075, NO, role
N, NPP, Arg3, جا§n-12733, YES, location
N, NVE, null, مشخصه§n-12756, YES, role_state
N, OBJ, Arg1, نفر§n-13075, NO, role
V, ROOT, null, رخداد§n-13136, NO, role_action
PR, SBJ, Arg0, نفر§n-13075, YES, role
N, OBJ, Arg1, نفر§n-13075, YES, role
V, PRD, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
PR, MOZ, null, نفر§n-13075, YES, role
N, VPP, Arg3, نفر§n-13075, YES, role
N, NVE, null, خبر§n-12766, YES, role_intent
PR, SBJ, Arg0, نفر§n-13075, YES, role
N, NVE, null, رخداد§n-13136, YES, role_intent
PR, SBJ, Arg0, نفر§n-13075, NO, role
N, NVE, null, خبر§n-12766, NO, role_intent
V, ROOT, null, رخداد§n-13136, NO, role_action
N, OBJ, Arg1, null, YES, role
UNKNOWN, ADVRB, ArgM_MNR, مشخصه§n-12756, YES, role_state
PREP, VPP, Arg4, جا§n-12733, YES, location
N, POSDEP, null, نفر§n-13075, YES, role
V, PRD, null, رخداد§n-13136, YES, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
N, POSDEP, null, null, YES, time
N, VPP, Arg4, گروه§n-12753, YES, location
V, VCONJ, null, رخداد§n-13136, YES, role_action
PREP, VPP, Arg4, جا§n-12733, YES, location
N, POSDEP, null, نفر§n-13075, YES, role
N, OBJ, Arg1, نفر§n-13075, NO, role
N, NVE, null, رخداد§n-13136, NO, role_intent
V, ROOT, null, رخداد§n-13136, NO, role_action
N, SBJ, Arg0, نفر§n-13075, YES, role
UNKNOWN, ADVRB, ArgM_MNR, مشخصه§n-12756, YES, role_state
PR, NPP, Arg3, نفر§n-13075, YES, role
N, NVE, null, خصوصيت_رواني§n-12725, YES, role_intent
V, VCONJ, null, null, YES, role_action
N, ADVRB, ArgM_LOC, null, YES, location
N, ADVRB, ArgM_MNR, null, YES, role_intent
N, MOZ, null, نفر§n-13075, YES, role
N, VPP, Arg3, null, YES, role
N, NVE, null, مشخصه§n-12756, YES, role_state
V, VCONJ, null, null, YES, role_action
N, NVE, null, رخداد§n-13136, YES, role_intent
V, VCONJ, null, رخداد§n-13136, NO, role_action
N, NCONJ, null, نفر§n-13075, YES, role
PR, MOZ, null, نفر§n-13075, YES, role
PR, POSDEP, null, null, YES, role
N, NVE, null, رخداد§n-13136, NO, role_intent
V, ROOT, null, رخداد§n-13136, NO, role_action
N, SBJ, Arg0, نفر§n-13075, NO, role
N, OBJ, Arg1, نفر§n-13075, YES, role
PR, MOZ, null, نفر§n-13075, YES, role
PREP, NPP, Arg3, جا§n-12733, YES, location
N, NVE, null, خبر§n-12766, YES, role_intent
N, NPP, null, رخداد§n-13136, YES, role_intent
V, ROOT, null, رخداد§n-13136, NO, role_action
UNKNOWN, ADVRB, ArgM_ADV, null, YES, role_intent
N, OBJ, Arg1, شيء§n-12703, YES, static_object
ADJ, NPOSTMOD, null, مشخصه§n-12756, YES, static_object_state
N, MOZ, null, ساختار§n-12875, YES, location
N, MOZ, null, null, YES, role
N, OBJ, Arg1, نفر§n-13075, NO, role
PREP, VPP, Arg3, null, NO, role_state
N, POSDEP, null, هست§n-12706, YES, role_intent
N, MOZ, null, شيء§n-12703, YES, static_object
ADJ, NPOSTMOD, null, مشخصه§n-12756, YES, static_object_state
V, ROOT, null, رخداد§n-13136, NO, role_action
N, SBJ, Arg0, نفر§n-13075, NO, role
N, MOZ, Arg1, شيء§n-12703, YES, static_object
N, AJPP, null, null, YES, role
N, OBJ, Arg1, شيء§n-12703, NO, static_object
V, ROOT, null, رخداد§n-13136, NO, role_action
N, SBJ, Arg0, null, NO, role
N, POSDEP, null, نفر§n-13075, YES, role_state
PREP, VPP, Arg3, جا§n-12733, NO, location
N, POSDEP, null, نفر§n-13075, YES, role
