PREP ADVRB  ArgM_TMP null no
N POSDEP null null no
N MOZ null شيء§n-12703 static_object
PREP NPP null null no
N NPP null ماده§n-14032 static_object
N SBJ  Arg0 null role
N OBJ  Arg1 شيء§n-12703 no
PR MOZ null null no
POSTP OBJ  Arg1 null no
V VCONJ null رخداد§n-13136 role_action
CONJ VCONJ null null no
PREP ADVRB  ArgM_MNR null no
N ADVRB  ArgM_MNR خصوصيت_رواني§n-12725 role_state
V ROOT null رخداد§n-13136 role_action
SUBR VCL  Arg1 null no
N SBJ  Arg0 null role
N ADVC  ArgM_LOC null no
PR MOZ null شيء§n-12703 static_object
V PRD null رخداد§n-13136 no
PUNC PUNC null null no

N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
SUBR NCL null null no
N SBJ  Arg0 null no
N MOZ null null role
PREP VPP  Arg3 null no
N VPP  Arg3 نفر§n-13075 role
V PRD null null role_action
N OBJ  Arg1 مشخصه§n-12756 role_emotion
PR MOZ null null role
POSTP OBJ  Arg1 null no
N NVE null null no
V PREDEP null null no
CONJ VCONJ null null no
N SBJ  Arg1 null role
N SBJ  Arg0 null role
N SBJ  Arg0 null role
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V PREDEP null null no
CONJ VCONJ null null no
V PREDEP null null no
SUBR VCL  Arg1 null no
UNKNOWN ADVRB  ArgM_CAU null no
PR SBJ  Arg1 null no
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V PRD null null no
CONJ VCONJ null null no
N OBJ  Arg1 رخداد§n-13136 role_intent
N MOZ null رخداد§n-13136 role_intent
PR MOZ null null no
POSTP OBJ  Arg1 null no
ADJ NVE null null no
V PREDEP null null no
CONJ VCONJ null null no
N SBJ  Arg1 null role
N MOS  Arg2 null role_state
ADJ NPREMOD null null no
N MOZ null مشخصه§n-12756 no
V PREDEP null null no
CONJ VCONJ null null no
PREP ADVRB  ArgM_MNR null no
N ADVRB  ArgM_MNR رخداد§n-13136 role_state
PR PREDEP null null no
POSTP OBJ  Arg1 null no
PREP ADVRB  ArgM_ADV null no
N ADVRB  ArgM_ADV رابطه§n-13628 role
N NVE null رخداد§n-13136 role_state
V ROOT null null no
PUNC PUNC null null no

N NVE null دوره_زماني§n-12603 time
V ROOT null رخداد§n-13136 no
SUBR VCL  Arg1 null no
N SBJ  Arg1 نفر§n-13075 role
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V PRD null رخداد§n-13136 no
PUNC PUNC null null no

PREP ADVRB  ArgM_TMP null no
ADJ NPREMOD null null no
N ADVRB  ArgM_TMP null no
N SBJ  Arg0 نفر§n-13075 role
V ROOT null null no
SUBR VCL  Arg1 null no
PR SBJ  Arg0 null no
N OBJ  Arg1 نفر§n-13075 role
POSTP OBJ  Arg1 null no
V PRD null رخداد§n-13136 role_action
SUBR NCL null null no
ADJ MOS  Arg2 null no
V PRD null null no
ADJ NPREMOD null null no
N OBJ  Arg1 نفر§n-13075 role
POSTP OBJ  Arg1 null no
N NVE null ماده§n-14032 no
V ACL null null no
PUNC PUNC null null no

N SBJ  Arg0 نفر§n-13075 role
N OBJ  Arg1 نفر§n-13075 role
N MOZ null نفر§n-13075 role
POSTP OBJ  Arg1 null no
PREP VPP  Arg4 null no
N VPP  Arg4 ساختار§n-12875 location
V ROOT null رخداد§n-13136 role_action
SUBR VCL null null no
N SBJ  Arg0 نفر§n-13075 role
PREP ADVRB  ArgM_MNR null no
N ADVRB  ArgM_MNR مشخصه§n-12756 role_emotion
ADJ MOS  Arg2 مشخصه§n-12756 role_state
N NEZ null رخداد§n-13136 role_action
N MOZ null ماده§n-14032 no
N MOZ null نفر§n-13075 role
V PRD null null no
PUNC PUNC null null no

