PREP ADVRB  ArgM_TMP null no
N POSDEP null null junk
N MOZ null شيء§n-12703 static_object
PREP NPP null null junk
N NPP null ماده§n-14032 static_object
N SBJ  Arg0 null role
N OBJ  Arg1 شيء§n-12703 no
PR MOZ null null junk
POSTP OBJ  Arg1 null junk
V VCONJ null رخداد§n-13136 role_action
CONJ VCONJ null null junk
PREP ADVRB  ArgM_MNR null junk
N ADVRB  ArgM_MNR خصوصيت_رواني§n-12725 role_state
V ROOT null رخداد§n-13136 role_action
SUBR VCL  Arg1 null junk
N SBJ  Arg0 null role
N ADVC  ArgM_LOC null junk
PR MOZ null شيء§n-12703 static_object
V PRD null رخداد§n-13136 no
PUNC PUNC null null junk

N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
SUBR NCL null null junk
N SBJ  Arg0 null junk
N MOZ null null role
PREP VPP  Arg3 null junk
N VPP  Arg3 نفر§n-13075 role
V PRD null null role_action
N OBJ  Arg1 مشخصه§n-12756 role_state
PR MOZ null null role
POSTP OBJ  Arg1 null junk
N NVE null null no
V PREDEP null null junk
CONJ VCONJ null null junk
N SBJ  Arg1 null role
N SBJ  Arg0 null role
N SBJ  Arg0 null role
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V PREDEP null null junk
CONJ VCONJ null null junk
V PREDEP null null junk
SUBR VCL  Arg1 null junk
UNKNOWN ADVRB  ArgM_CAU null junk
PR SBJ  Arg1 null junk
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V PRD null null no
CONJ VCONJ null null junk
N OBJ  Arg1 رخداد§n-13136 role_intent
N MOZ null رخداد§n-13136 role_intent
PR MOZ null null junk
POSTP OBJ  Arg1 null junk
ADJ NVE null null no
V PREDEP null null junk
CONJ VCONJ null null junk
N SBJ  Arg1 null role
N MOS  Arg2 null role_state
ADJ NPREMOD null null junk
N MOZ null مشخصه§n-12756 no
V PREDEP null null junk
CONJ VCONJ null null junk
PREP ADVRB  ArgM_MNR null junk
N ADVRB  ArgM_MNR رخداد§n-13136 role_state
PR PREDEP null null junk
POSTP OBJ  Arg1 null junk
PREP ADVRB  ArgM_ADV null junk
N ADVRB  ArgM_ADV رابطه§n-13628 role
N NVE null رخداد§n-13136 role_state
V ROOT null null junk
PUNC PUNC null null junk

N NVE null دوره_زماني§n-12603 time
V ROOT null رخداد§n-13136 no
SUBR VCL  Arg1 null junk
N SBJ  Arg1 نفر§n-13075 role
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V PRD null رخداد§n-13136 no
PUNC PUNC null null junk

PREP ADVRB  ArgM_TMP null junk
ADJ NPREMOD null null junk
N ADVRB  ArgM_TMP null no
N SBJ  Arg0 نفر§n-13075 role
V ROOT null null junk
SUBR VCL  Arg1 null junk
PR SBJ  Arg0 null junk
N OBJ  Arg1 نفر§n-13075 role
POSTP OBJ  Arg1 null junk
V PRD null رخداد§n-13136 role_action
SUBR NCL null null junk
ADJ MOS  Arg2 null junk
V PRD null null junk
ADJ NPREMOD null null junk
N OBJ  Arg1 نفر§n-13075 role
POSTP OBJ  Arg1 null junk
N NVE null ماده§n-14032 no
V ACL null null junk
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
N OBJ  Arg1 نفر§n-13075 role
N MOZ null نفر§n-13075 role
POSTP OBJ  Arg1 null junk
PREP VPP  Arg4 null junk
N VPP  Arg4 ساختار§n-12875 location
V ROOT null رخداد§n-13136 role_action
SUBR VCL null null no
N SBJ  Arg0 نفر§n-13075 role
PREP ADVRB  ArgM_MNR null junk
N ADVRB  ArgM_MNR مشخصه§n-12756 role_state
ADJ MOS  Arg2 مشخصه§n-12756 role_state
N NEZ null رخداد§n-13136 role_action
N MOZ null ماده§n-14032 no
N MOZ null نفر§n-13075 role
V PRD null null junk
PUNC PUNC null null junk

ADV ADVRB  ArgM_ADV null no
N SBJ  Arg0 خصوصيت_رواني§n-12725 no
PREP NPP  Arg3 null junk
N NPP  Arg3 خبر§n-12766 no
PR MOZ null null junk
SUBR NCL null null junk
N MOS  Arg2 رخداد§n-13136 role_action
N MOZ null نفر§n-13075 role
PREP NPP null null junk
N NPP null نفر§n-13075 role
PR MOZ null نفر§n-13075 role
V PRD null null junk
N NVE null null junk
V ROOT null null junk
PUNC PUNC null null junk

N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
SUBR NCL null null junk
N SBJ  Arg1 نفر§n-13075 role
N SBJ  Arg1 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
N SBJ  Arg1 نفر§n-13075 role
PREP VPP  Arg3 null junk
N VPP  Arg3 دوره_زماني§n-12603 time
N MOZ null رخداد§n-13136 role_state
CONJ NCONJ null null junk
N NCONJ null دوره_زماني§n-12603 role_state
V PREDEP null null junk
CONJ VCONJ null null junk
PREP AJPP null null junk
N AJPP null مشخصه§n-12756 role_state
ADJ NPOSTMOD null مشخصه§n-12756 role_state
ADJ MOS  Arg2 null junk
V PRD null null junk
PREP ADVRB  null null junk
ADJ NPREMOD null null no
N ADVRB  null دوره_زماني§n-12603 time
N OBJ  Arg1 ساختار§n-12875 location
N MOZ null null role
POSTP OBJ  Arg1 null junk
N NVE null رخداد§n-13136 role_intent
V PREDEP null null junk
CONJ VCONJ null null junk
ADJ MOS  Arg2 null no
N NEZ null جا§n-12733 location
V ROOT null null junk
PUNC PUNC null null junk

N SBJ  Arg1 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
PREP AJPP null null junk
ADJ NPREMOD null null junk
N AJPP null رخداد§n-13136 no
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V PREDEP null null junk
CONJ VCONJ null null junk
N NVE null مشخصه§n-12756 role_intent
V ROOT null null junk
SUBR VCL null null junk
N SBJ  Arg0 خصوصيت_رواني§n-12725 no
N OBJ  Arg1 مشخصه§n-12756 role_intent
PR MOZ null null junk
POSTP OBJ  Arg1 null junk
V PRD null رخداد§n-13136 role_action
PUNC PUNC null null junk

PREP ADVRB  null null no
ADJ POSDEP null null junk
N SBJ  Arg0 رخداد§n-13136 no
N MOZ null null junk
ADV ADVRB  ArgM_ADV null junk
PREP VPP  Arg4 null junk
N VPP  Arg4 null role
V VCONJ null رخداد§n-13136 no
CONJ VCONJ null null junk
PR SBJ  Arg0 null junk
N NVE null خصوصيت_رواني§n-12725 role_intent
PREP NPP  Arg3 null junk
N NPP  Arg3 رخداد§n-13136 role_intent
N MOZ null نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action
PUNC PUNC null null junk

PREP ADVRB  ArgM_TMP null junk
ADJ NPREMOD null null junk
N ADVRB  ArgM_TMP null no
ADJ NPREMOD null null no
N SBJ  Arg1 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
N MOZ null null role
SUBR NCL null null junk
PREP AJPP null null junk
N AJPP null رخداد§n-13136 role_intent
PR MOZ null null junk
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V PRD null null junk
N OBJ  Arg1 رخداد§n-13136 no
POSTP OBJ  Arg1 null junk
PREP VPP  Arg3 null junk
N VPP  Arg3 نفر§n-13075 role
V ROOT null null junk
PUNC PUNC null null junk

N SBJ  Arg1 نفر§n-13075 role
N SBJ  Arg1 نفر§n-13075 role
PREP ADVRB  ArgM_LOC null junk
ADJ NPREMOD null null junk
N ADVRB  ArgM_LOC دوره_زماني§n-12603 time
PREP AJPP null null junk
N AJPP null null static_object
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V PREDEP null null junk
CONJ VCONJ null null junk
PREP AJPP null null junk
N AJPP null null no
N MOZ null خصوصيت_رواني§n-12725 role_state
CONJ NCONJ null null junk
N NCONJ null خصوصيت_رواني§n-12725 role_state
PREP NPP null null junk
N NPP null خصوصيت_رواني§n-12725 no
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V ROOT null null junk
PUNC PUNC null null junk

N SBJ  Arg1 نفر§n-13075 role
ADJ NPREMOD null null junk
N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
PREP MOS  Arg2 null junk
N POSDEP null null junk
V PREDEP null null junk
CONJ VCONJ null null junk
PREP ADVRB  ArgM_TMP null no
NUM NPREMOD null null junk
N ADVRB null null junk
N NE null null junk
N POSDEP null رخداد§n-13136 role_action
CONJ NCONJ null null junk
N POSDEP null null junk
PREP NPP null null junk
N NPP null جان_دار§n-10393 static_object
PREP VPP  Arg4 null junk
N VPP  Arg4 null location
V ROOT null null junk
PUNC PUNC null null junk

N SBJ  Arg1 نفر§n-13075 role
PREP ADVRB  ArgM_TMP null no
N POSDEP null رخداد§n-13136 role_intent
PREP NPP null null junk
PR NPP null null role
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V ROOT null رخداد§n-13136 role_action
SUBR ACL null null junk
PR SBJ  Arg0 null role
PR SBJ  Arg0 null role
N OBJ  Arg1 نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state
V PREDEP null null junk
CONJ VCONJ null null junk
PREP ADVRB  ArgM_ADV null no
PR POSDEP null null junk
ADJ MOS  Arg2 null role_state
V PRD null null role_action
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
N OBJ  Arg1 null static_object
POSTP OBJ  Arg1 null junk
ADJ MOS  Arg2 مشخصه§n-12756 no
PREP AJPP null null junk
N AJPP null ماده§n-14032 static_object
V VCONJ null رخداد§n-13136 role_action
CONJ VCONJ null null junk
N OBJ  Arg1 جانور§n-12239 dynamic_object
PR MOZ null null role
POSTP OBJ  Arg1 null junk
ADJ MOS  Arg2 مشخصه§n-12756 role_intent
V ROOT null null role_action
SUBR VCL null null no
PREP ADVRB  ArgM_PRP null junk
N POSDEP null null role_intent
PREP VPP  Arg4 null location
N POSDEP null مشخصه§n-12756 no
N MOZ null جان_دار§n-10393 static_object
V PRD null null junk
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
PREP VPP  Arg4 جا§n-12733 location
N POSDEP null نفر§n-13075 role
V PREDEP null null junk
CONJ VCONJ null null junk
N OBJ  Arg1 رخداد§n-13136 no
POSTP OBJ  Arg1 null junk
N NVE null رخداد§n-13136 role_intent
V ROOT null رخداد§n-13136 role_action
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
N OBJ  Arg1 نفر§n-13075 role
PR MOZ null نفر§n-13075 role
N APP null null role
POSTP OBJ  Arg1 null junk
ADJ MOS  Arg2 مشخصه§n-12756 role_intent
V ROOT null null junk
SUBR VCL null null junk
N OBJ  Arg1 نفر§n-13075 role
POSTP OBJ  Arg1 null junk
PREP ADVRB  ArgM_PRP null junk
N POSDEP null مشخصه§n-12756 role_intent
PREP VPP  Arg4 جا§n-12733 location
PR POSDEP null نفر§n-13075 role
V PRD null null junk
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
N OBJ  Arg1 خبر§n-12766 role_intent
POSTP OBJ  Arg1 null junk
V VCONJ null رخداد§n-13136 role_action
CONJ VCONJ null null junk
PREP VPRT null null junk
N POSDEP null null junk
V ROOT null null role_action
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
PUNC PUNC null null junk
ARAB POSDEP null null no
PUNC PUNC null null junk
N OBJ  Arg1 رخداد§n-13136 no
PR MOZ null null junk
POSTP OBJ  Arg1 null junk
PREP NPP  Arg3 null junk
N POSDEP null نفر§n-13075 role
PUNC PUNC null null junk
ARAB POSDEP null null no
PUNC PUNC null null junk
N NVE null رخداد§n-13136 role_intent
V ROOT null null junk
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
N OBJ  Arg1 خبر§n-12766 role_action
N MOZ null نفر§n-13075 role
POSTP OBJ  Arg1 null junk
V VCONJ null رخداد§n-13136 role_action
CONJ VCONJ null null junk
PREP NPP  Arg3 null junk
N NPP  Arg3 null role
N NVE null رخداد§n-13136 role_intent
V VCONJ null رخداد§n-13136 role_action
CONJ VCONJ null null junk
PREP NPP  Arg3 null junk
N NPP  Arg3 مشخصه§n-12756 role_intent
PR MOZ null null junk
PREP NPP null null junk
N NPP null null location
N NVE null رابطه§n-13628 role_intent
V ROOT null null junk
PUNC PUNC null null junk

PR SBJ  Arg0 null junk
PREP ADVRB  null null no
NUM NPREMOD null null junk
N MESU null دوره_زماني§n-12603 time
N POSDEP null رخداد§n-13136 role_intent
PREP NPP null null junk
N NPP null null location
PREP ADVRB  ArgM_TMP null junk
ADJ NPREMOD null مشخصه§n-12756 no
N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
PREP VPP  Arg3 null junk
N VPP  Arg3 نفر§n-13075 role
V ROOT null null junk
SUBR VCL  Arg1 null junk
V PRD null رخداد§n-13136 role_action
PREP VPP  Arg3 null junk
N VPP  Arg3 گروه§n-12753 location
V VCL null رخداد§n-13136 role_action
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
PR PREDEP null null junk
POSTP OBJ  Arg1 null junk
PREP NPP  Arg3 null junk
N NPP  Arg3 شيء§n-12703 location
N NVE null رخداد§n-13136 role_intent
V ROOT null null junk
SUBR NCL null null junk
UNKNOWN NPREMOD null null junk
N SBJ  Arg1 شيء§n-12703 static_object
PREP NPP null null junk
N NPP null نفر§n-13075 role
ADJ NPOSTMOD null null junk
PREP MOS  Arg2 null junk
PR POSDEP null null junk
V PRD null null junk
SUBR NCL null null junk
ADV ADVRB  ArgM_ADV null junk
N SBJ  Arg0 شيء§n-12703 static_object
N SBJ  Arg0 شيء§n-12703 static_object
N MOZ null نفر§n-13075 role
CONJ NCONJ null null junk
N NCONJ null نفر§n-13075 role
PREP VPP  Arg4 null no
PR POSDEP null null junk
V PRD null رخداد§n-13136 no
SUBR VCL null null no
PREP VPP  Arg3 null junk
N VPP  Arg3 رابطه§n-13628 no
PR MOZ null نفر§n-13075 role
N NVE null مشخصه§n-12756 no
V PRD null null junk
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
