PR SBJ  Arg0 null no
ADV ADVRB  ArgM_ADV null no
NUM NPREMOD null null no
N OBJ  Arg1 نفر§n-13075 role
V PREDEP null null no
CONJ VCONJ null null no
PREP ADVRB  ArgM_ADV null no
N ADVRB  ArgM_ADV null no
PR MOZ null نفر§n-13075 role
ADV ADVRB  null null no
N SBJ  Arg1 null role
N MOS  Arg2 نفر§n-13075 role
ADJ NPOSTMOD null نفر§n-13075 role
CONJ AJCONJ null null no
ADJ AJCONJ null نفر§n-13075 role
PR MOZ null null no
V ROOT null null no
PUNC PUNC null null no

N SBJ  Arg1 نفر§n-13075 role
PREP AJPP null null no
ADJ NPREMOD null null no
N AJPP null نفر§n-13075 role
PREP POSDEP null null no
N POSDEP null نفر§n-13075 role
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V ROOT null null no
PUNC PUNC null null no

PR SBJ  Arg0 null no
PREP ADVC  Arg2 مشخصه§n-12756 no
NUM NPREMOD null null no
N POSDEP null دوره_زماني§n-12603 time
N NVE null رخداد§n-13136 role_action
V ROOT null null no
PUNC PUNC null null no

N SBJ  Arg0 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
NUM NPREMOD null null no
N ADVC  Arg1 دوره_زماني§n-12603 no
ADV ADVRB  ArgM_EXT null no
V ROOT null null no
SUBR NCL null null no
NUM NPREMOD null null no
N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
PUNC PUNC null null no
N OBJ  Arg1 خصوصيت_رواني§n-12725 no
V PRD null رخداد§n-13136 role_action
PUNC PUNC null null no

N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
PREP VPP  Arg4 جا§n-12733 location
N POSDEP null نفر§n-13075 role
V PREDEP null null no
CONJ VCONJ null null no
V ROOT null null no
PREP ADVRB  ArgM_LOC null no
N ADVRB  ArgM_LOC null no
N MOZ null خصوصيت_رواني§n-12725 no
V VCL null رخداد§n-13136 role_action
SUBR VCL  Arg1 null no
NUM NPREMOD null null no
N SBJ  Arg0 شيء§n-12703 static_object
CONJ NCONJ null null no
N NCONJ null null static_object
CONJ NCONJ null null no
N NCONJ null null static_object
PREP NPP  Arg3 null no
PR POSDEP null نفر§n-13075 role
N NVE null رخداد§n-13136 static_object_state
V PRD null رخداد§n-13136 role_action
PUNC PUNC null null no

N SBJ  Arg0 null role
N SBJ  Arg0 null role
N MOZ null نفر§n-13075 role
SUBR NCL null null no
N OBJ  Arg1 خصوصيت_رواني§n-12725 no
N MOZ null خصوصيت_رواني§n-12725 no
POSTP OBJ  Arg1 null no
V PRD null رخداد§n-13136 no
PREP VPP  Arg3 null no
PR POSDEP null null no
V ROOT null null no
SUBR VCL  Arg1 null no
N OBJ  Arg1 خصوصيت_رواني§n-12725 no
PR MOZ null null no
POSTP OBJ  Arg1 null no
PREP ADVRB  ArgM_GOL null no
N POSDEP null نفر§n-13075 role
PR MOZ null نفر§n-13075 role
ADJ MOS  Arg2 null no
V VCL null رخداد§n-13136 role_action

SUBR ROOT  ArgM_ADV null no
PREP ADVRB  ArgM_GOL null no
PR POSDEP null نفر§n-13075 role
ADJ MOS  Arg2 مشخصه§n-12756 role_intent
V PRD null رخداد§n-13136 role_action
SUBR VCL  Arg1 null no
PREP ADVRB  ArgM_TMP null no
N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
N MOS  Arg2 مشخصه§n-12756 role_state
ADJ NPOSTMOD null مشخصه§n-12756 role_state
V PRD null رخداد§n-13136 no
SUBR NCL null null no
N SBJ  Arg0 null no
N OBJ  Arg3 رخداد§n-13136 no
PR MOZ null نفر§n-13075 role
POSTP OBJ  Arg3 null no
N NVE null شيء§n-12703 no
V PRD null رخداد§n-13136 role_action

CONJ VCONJ null null no
N SBJ  Arg0 خصوصيت_رواني§n-12725 no
N SBJ  Arg0 خصوصيت_رواني§n-12725 no
PR PREDEP null null no
POSTP OBJ  Arg1 null no
PREP VPP  Arg3 null no
N VPP  Arg3 null role_state
V VCONJ null رخداد§n-13136 no
CONJ VCONJ null null no
N OBJ  Arg1 خصوصيت_رواني§n-12725 no
N MOZ null خصوصيت_رواني§n-12725 no
POSTP OBJ  Arg1 null no
PREP VPP  Arg3 null no
